Hospital Name,Locality,Charges,Surgery/Treatment Name,Doctor's Name,Hospital Ratings,Doctor’s Review
Manipal Hospitals,Kakinada,"₹1,00,000",Heart Bypass Surgery,Dr. Kavitha Reddy,3.9,Best neurologist
Aayush Hospitals,Visakhapatnam,"₹1,00,000",Angioplasty,Dr. Sandeep Varma,3.9,Pediatric specialist
Manipal Hospitals,Guntur,"₹50,000",Heart Bypass Surgery,Dr. Anand Sharma,4.4,Best neurologist
Andhra Hospitals,Vijayawada,"₹5,00,000",Brain Surgery,Dr. Meera Joshi,4,Pediatric specialist
Care Hospitals,Hyderabad,"₹5,00,000",Child Vaccination,Dr. Anand Sharma,3.6,Pediatric specialist
Aayush Hospitals,Kakinada,"₹80,000",C-Section Delivery,Dr. Manish Rao,4,ENT Specialist
Andhra Hospitals,Visakhapatnam,"₹1,00,000",Skin Treatment,Dr. Meera Joshi,4.9,Renowned dermatologist
Care Hospitals,Visakhapatnam,"₹3,00,000",Ear Surgery,Dr. Manish Rao,3.9,Expert in cardiology
Sunshine Hospitals,Guntur,"₹2,00,000",Angioplasty,Dr. Anand Sharma,4.6,Expert in cardiology
Manipal Hospitals,Guntur,"₹1,00,000",Appendix Surgery,Dr. Meera Joshi,4.4,Oncology expert
Manipal Hospitals,Visakhapatnam,"₹1,00,000",Appendix Surgery,Dr. Anand Sharma,4.1,Experienced general surgeon
Apollo Hospitals,Tirupati,"₹80,000",Ear Surgery,Dr. Arjun Dev,4.3,ENT Specialist
Rainbow Hospitals,Tirupati,"₹80,000",C-Section Delivery,Dr. Priya Menon,3.5,Expert in cardiology
KIMS Hospitals,Guntur,"₹5,00,000",Appendix Surgery,Dr. Ramesh Kumar,3.6,Experienced general surgeon
Manipal Hospitals,Nellore,"₹1,50,000",Skin Treatment,Dr. Priya Menon,4.5,Experienced general surgeon
Manipal Hospitals,Guntur,"₹50,000",Ear Surgery,Dr. Neha Sharma,3.8,Cardiac specialist
Omni Hospitals,Kakinada,"₹2,00,000",Appendix Surgery,Dr. Kavitha Reddy,3.7,Expert in cardiology
KIMS Hospitals,Nellore,"₹2,00,000",Ear Surgery,Dr. Sandeep Varma,3.6,Top gynecologist
Rainbow Hospitals,Rajahmundry,"₹1,50,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.1,Renowned dermatologist
Aayush Hospitals,Rajahmundry,"₹50,000",Angioplasty,Dr. Kavitha Reddy,3.7,Top gynecologist
Kamineni Hospitals,Nellore,"₹5,00,000",Ear Surgery,Dr. Sandeep Varma,4.9,ENT Specialist
Sunshine Hospitals,Vijayawada,"₹3,00,000",Angioplasty,Dr. Manish Rao,4.1,Oncology expert
Omni Hospitals,Kakinada,"₹1,50,000",C-Section Delivery,Dr. Neha Sharma,4.3,Oncology expert
Aayush Hospitals,Vijayawada,"₹50,000",Skin Treatment,Dr. Priya Menon,3.7,ENT Specialist
Andhra Hospitals,Nellore,"₹5,00,000",Ear Surgery,Dr. Ramesh Kumar,4.5,Cardiac specialist
Omni Hospitals,Rajahmundry,"₹2,00,000",Skin Treatment,Dr. Anand Sharma,4.1,ENT Specialist
Aayush Hospitals,Tirupati,"₹80,000",Knee Replacement,Dr. Ramesh Kumar,4,Top gynecologist
Apollo Hospitals,Nellore,"₹1,00,000",Angioplasty,Dr. Sneha Rao,4.9,Oncology expert
Andhra Hospitals,Tirupati,"₹5,00,000",Chemotherapy,Dr. Meera Joshi,4,Renowned dermatologist
Andhra Hospitals,Nellore,"₹1,50,000",C-Section Delivery,Dr. Kavitha Reddy,3.9,Top gynecologist
Care Hospitals,Vijayawada,"₹3,00,000",Brain Surgery,Dr. Sneha Rao,3.8,Pediatric specialist
Rainbow Hospitals,Vijayawada,"₹5,00,000",Child Vaccination,Dr. Kavitha Reddy,3.9,Cardiac specialist
KIMS Hospitals,Guntur,"₹1,50,000",Heart Bypass Surgery,Dr. Manish Rao,4.7,Cardiac specialist
Apollo Hospitals,Vijayawada,"₹50,000",Chemotherapy,Dr. Manish Rao,4.5,Oncology expert
Manipal Hospitals,Hyderabad,"₹1,50,000",Brain Surgery,Dr. Priya Menon,4.6,ENT Specialist
Manipal Hospitals,Tirupati,"₹80,000",Heart Bypass Surgery,Dr. Manish Rao,4.6,ENT Specialist
Apollo Hospitals,Rajahmundry,"₹80,000",Ear Surgery,Dr. Sneha Rao,4,Best orthopedic surgeon
Rainbow Hospitals,Rajahmundry,"₹50,000",Angioplasty,Dr. Sneha Rao,4.5,Top gynecologist
Aayush Hospitals,Kakinada,"₹2,00,000",Heart Bypass Surgery,Dr. Priya Menon,3.6,Best orthopedic surgeon
KIMS Hospitals,Kakinada,"₹5,00,000",Skin Treatment,Dr. Arjun Dev,3.7,Top gynecologist
Aayush Hospitals,Vijayawada,"₹2,00,000",Heart Bypass Surgery,Dr. Sandeep Varma,3.7,Pediatric specialist
Rainbow Hospitals,Visakhapatnam,"₹5,00,000",Skin Treatment,Dr. Sandeep Varma,4.7,Experienced general surgeon
Rainbow Hospitals,Hyderabad,"₹1,50,000",Child Vaccination,Dr. Anand Sharma,4.7,Top gynecologist
Omni Hospitals,Tirupati,"₹2,00,000",Skin Treatment,Dr. Anand Sharma,4.9,Top gynecologist
KIMS Hospitals,Hyderabad,"₹3,00,000",Brain Surgery,Dr. Manish Rao,4.8,Oncology expert
Aayush Hospitals,Rajahmundry,"₹50,000",Brain Surgery,Dr. Anand Sharma,4.8,Experienced general surgeon
Rainbow Hospitals,Visakhapatnam,"₹2,00,000",Knee Replacement,Dr. Sneha Rao,3.5,Experienced general surgeon
Apollo Hospitals,Vijayawada,"₹80,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.5,Cardiac specialist
Kamineni Hospitals,Hyderabad,"₹1,50,000",Angioplasty,Dr. Priya Menon,4.1,Experienced general surgeon
KIMS Hospitals,Hyderabad,"₹1,00,000",Chemotherapy,Dr. Sandeep Varma,3.6,ENT Specialist
Rainbow Hospitals,Tirupati,"₹2,00,000",Child Vaccination,Dr. Priya Menon,4.6,Top gynecologist
KIMS Hospitals,Vijayawada,"₹5,00,000",Appendix Surgery,Dr. Priya Menon,4.7,Pediatric specialist
Apollo Hospitals,Visakhapatnam,"₹50,000",Skin Treatment,Dr. Sandeep Varma,4.9,Pediatric specialist
Care Hospitals,Vijayawada,"₹2,00,000",Knee Replacement,Dr. Priya Menon,4.9,Best neurologist
Kamineni Hospitals,Rajahmundry,"₹5,00,000",C-Section Delivery,Dr. Sneha Rao,4.3,Best neurologist
KIMS Hospitals,Guntur,"₹3,00,000",Ear Surgery,Dr. Meera Joshi,3.7,Best orthopedic surgeon
Manipal Hospitals,Vijayawada,"₹2,00,000",Child Vaccination,Dr. Kavitha Reddy,4.8,Oncology expert
Kamineni Hospitals,Visakhapatnam,"₹80,000",C-Section Delivery,Dr. Sneha Rao,3.8,Best neurologist
Sunshine Hospitals,Nellore,"₹5,00,000",Chemotherapy,Dr. Sneha Rao,4.9,Renowned dermatologist
Care Hospitals,Nellore,"₹2,00,000",Ear Surgery,Dr. Sandeep Varma,5,Top gynecologist
KIMS Hospitals,Tirupati,"₹1,50,000",Angioplasty,Dr. Priya Menon,4.2,Cardiac specialist
Kamineni Hospitals,Visakhapatnam,"₹80,000",Angioplasty,Dr. Kavitha Reddy,4.1,Top gynecologist
Manipal Hospitals,Tirupati,"₹2,00,000",Skin Treatment,Dr. Meera Joshi,4.3,Experienced general surgeon
Sunshine Hospitals,Vijayawada,"₹3,00,000",Angioplasty,Dr. Anand Sharma,4.5,Best orthopedic surgeon
Omni Hospitals,Tirupati,"₹50,000",Chemotherapy,Dr. Ramesh Kumar,3.8,Expert in cardiology
Andhra Hospitals,Vijayawada,"₹80,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.4,ENT Specialist
Manipal Hospitals,Hyderabad,"₹1,00,000",Angioplasty,Dr. Sandeep Varma,3.6,Renowned dermatologist
Kamineni Hospitals,Guntur,"₹1,50,000",Child Vaccination,Dr. Kavitha Reddy,4.1,Top gynecologist
Rainbow Hospitals,Tirupati,"₹1,00,000",Chemotherapy,Dr. Sneha Rao,4,Best orthopedic surgeon
Sunshine Hospitals,Guntur,"₹50,000",Heart Bypass Surgery,Dr. Kavitha Reddy,3.7,Experienced general surgeon
Apollo Hospitals,Vijayawada,"₹1,50,000",Appendix Surgery,Dr. Sandeep Varma,4.7,Expert in cardiology
Omni Hospitals,Visakhapatnam,"₹1,00,000",Ear Surgery,Dr. Kavitha Reddy,3.7,Renowned dermatologist
Sunshine Hospitals,Hyderabad,"₹80,000",C-Section Delivery,Dr. Anand Sharma,4,Cardiac specialist
Sunshine Hospitals,Vijayawada,"₹5,00,000",Knee Replacement,Dr. Kavitha Reddy,4.8,ENT Specialist
Sunshine Hospitals,Guntur,"₹2,00,000",Chemotherapy,Dr. Sneha Rao,4.5,ENT Specialist
Apollo Hospitals,Hyderabad,"₹2,00,000",C-Section Delivery,Dr. Meera Joshi,3.7,Renowned dermatologist
Kamineni Hospitals,Tirupati,"₹50,000",Skin Treatment,Dr. Anand Sharma,4,Best neurologist
Aayush Hospitals,Tirupati,"₹1,50,000",C-Section Delivery,Dr. Anand Sharma,4.1,Renowned dermatologist
Apollo Hospitals,Kakinada,"₹5,00,000",Knee Replacement,Dr. Sandeep Varma,4.7,Best neurologist
Omni Hospitals,Hyderabad,"₹2,00,000",Chemotherapy,Dr. Priya Menon,3.6,Renowned dermatologist
Rainbow Hospitals,Rajahmundry,"₹2,00,000",C-Section Delivery,Dr. Sandeep Varma,4.4,Expert in cardiology
Aayush Hospitals,Visakhapatnam,"₹1,50,000",Ear Surgery,Dr. Sandeep Varma,4.3,Experienced general surgeon
Kamineni Hospitals,Kakinada,"₹3,00,000",C-Section Delivery,Dr. Sandeep Varma,4.5,Pediatric specialist
Omni Hospitals,Vijayawada,"₹5,00,000",Skin Treatment,Dr. Priya Menon,3.6,Top gynecologist
Rainbow Hospitals,Tirupati,"₹50,000",Knee Replacement,Dr. Kavitha Reddy,3.9,Cardiac specialist
Manipal Hospitals,Rajahmundry,"₹50,000",Appendix Surgery,Dr. Anand Sharma,3.9,Experienced general surgeon
Care Hospitals,Tirupati,"₹80,000",Appendix Surgery,Dr. Neha Sharma,4.8,Oncology expert
Kamineni Hospitals,Tirupati,"₹5,00,000",Ear Surgery,Dr. Kavitha Reddy,3.6,Best neurologist
Omni Hospitals,Guntur,"₹50,000",C-Section Delivery,Dr. Manish Rao,4.9,Best orthopedic surgeon
Manipal Hospitals,Nellore,"₹1,00,000",Angioplasty,Dr. Ramesh Kumar,3.8,Experienced general surgeon
Kamineni Hospitals,Vijayawada,"₹5,00,000",Knee Replacement,Dr. Neha Sharma,4.1,Experienced general surgeon
Sunshine Hospitals,Nellore,"₹2,00,000",Heart Bypass Surgery,Dr. Meera Joshi,4.7,Oncology expert
Rainbow Hospitals,Guntur,"₹1,50,000",Appendix Surgery,Dr. Sandeep Varma,4.4,Best neurologist
Sunshine Hospitals,Visakhapatnam,"₹5,00,000",Skin Treatment,Dr. Ramesh Kumar,3.8,ENT Specialist
Sunshine Hospitals,Nellore,"₹2,00,000",Appendix Surgery,Dr. Manish Rao,4.8,Oncology expert
Omni Hospitals,Kakinada,"₹80,000",Angioplasty,Dr. Anand Sharma,4.9,Oncology expert
Sunshine Hospitals,Vijayawada,"₹5,00,000",C-Section Delivery,Dr. Priya Menon,4.6,Expert in cardiology
Andhra Hospitals,Rajahmundry,"₹5,00,000",Ear Surgery,Dr. Ramesh Kumar,4.6,Best orthopedic surgeon
Rainbow Hospitals,Kakinada,"₹50,000",Ear Surgery,Dr. Arjun Dev,3.8,Experienced general surgeon
Sunshine Hospitals,Hyderabad,"₹2,00,000",C-Section Delivery,Dr. Arjun Dev,4.7,Top gynecologist
Kamineni Hospitals,Hyderabad,"₹50,000",Appendix Surgery,Dr. Neha Sharma,4.5,Cardiac specialist
Apollo Hospitals,Kakinada,"₹5,00,000",Brain Surgery,Dr. Arjun Dev,4.7,Expert in cardiology
Sunshine Hospitals,Rajahmundry,"₹1,00,000",Brain Surgery,Dr. Priya Menon,3.7,Pediatric specialist
Manipal Hospitals,Visakhapatnam,"₹3,00,000",Skin Treatment,Dr. Sandeep Varma,4.3,Expert in cardiology
Rainbow Hospitals,Vijayawada,"₹50,000",C-Section Delivery,Dr. Sneha Rao,3.6,Top gynecologist
Sunshine Hospitals,Kakinada,"₹3,00,000",Appendix Surgery,Dr. Meera Joshi,4,Pediatric specialist
Kamineni Hospitals,Guntur,"₹3,00,000",Knee Replacement,Dr. Sneha Rao,4.2,Experienced general surgeon
Manipal Hospitals,Rajahmundry,"₹5,00,000",Child Vaccination,Dr. Arjun Dev,4.2,Best neurologist
Manipal Hospitals,Kakinada,"₹50,000",Knee Replacement,Dr. Ramesh Kumar,4,Experienced general surgeon
Aayush Hospitals,Nellore,"₹1,50,000",Skin Treatment,Dr. Sneha Rao,4.5,Renowned dermatologist
Andhra Hospitals,Nellore,"₹1,50,000",Brain Surgery,Dr. Meera Joshi,3.7,Best neurologist
Andhra Hospitals,Kakinada,"₹5,00,000",Chemotherapy,Dr. Neha Sharma,4.7,ENT Specialist
Manipal Hospitals,Hyderabad,"₹3,00,000",Ear Surgery,Dr. Arjun Dev,3.9,Best orthopedic surgeon
Rainbow Hospitals,Visakhapatnam,"₹3,00,000",Brain Surgery,Dr. Manish Rao,4.7,Experienced general surgeon
Sunshine Hospitals,Kakinada,"₹80,000",Ear Surgery,Dr. Sandeep Varma,4.9,ENT Specialist
Sunshine Hospitals,Hyderabad,"₹2,00,000",Knee Replacement,Dr. Manish Rao,4.2,Renowned dermatologist
Sunshine Hospitals,Nellore,"₹5,00,000",Heart Bypass Surgery,Dr. Sneha Rao,4.7,Renowned dermatologist
Kamineni Hospitals,Guntur,"₹80,000",Angioplasty,Dr. Anand Sharma,4.5,Oncology expert
Aayush Hospitals,Visakhapatnam,"₹3,00,000",Child Vaccination,Dr. Neha Sharma,4.6,Top gynecologist
Rainbow Hospitals,Nellore,"₹2,00,000",C-Section Delivery,Dr. Manish Rao,4.5,Best neurologist
Sunshine Hospitals,Hyderabad,"₹1,00,000",Appendix Surgery,Dr. Ramesh Kumar,4.8,Best orthopedic surgeon
Sunshine Hospitals,Vijayawada,"₹50,000",Knee Replacement,Dr. Manish Rao,3.9,Pediatric specialist
Kamineni Hospitals,Guntur,"₹1,50,000",Knee Replacement,Dr. Ramesh Kumar,4.5,Expert in cardiology
Rainbow Hospitals,Kakinada,"₹5,00,000",Child Vaccination,Dr. Arjun Dev,4.2,Expert in cardiology
Omni Hospitals,Kakinada,"₹2,00,000",C-Section Delivery,Dr. Priya Menon,4.3,Pediatric specialist
Andhra Hospitals,Kakinada,"₹1,00,000",Heart Bypass Surgery,Dr. Meera Joshi,4.5,Best neurologist
Aayush Hospitals,Kakinada,"₹5,00,000",C-Section Delivery,Dr. Meera Joshi,3.6,Oncology expert
Manipal Hospitals,Tirupati,"₹1,50,000",Child Vaccination,Dr. Priya Menon,4.5,Experienced general surgeon
Kamineni Hospitals,Hyderabad,"₹1,00,000",Appendix Surgery,Dr. Arjun Dev,3.6,Top gynecologist
Apollo Hospitals,Visakhapatnam,"₹2,00,000",Child Vaccination,Dr. Neha Sharma,4.7,Cardiac specialist
Sunshine Hospitals,Vijayawada,"₹2,00,000",Knee Replacement,Dr. Anand Sharma,3.7,Top gynecologist
Omni Hospitals,Kakinada,"₹80,000",Brain Surgery,Dr. Sandeep Varma,4.2,Experienced general surgeon
Sunshine Hospitals,Hyderabad,"₹1,50,000",Heart Bypass Surgery,Dr. Neha Sharma,4.9,Oncology expert
Andhra Hospitals,Visakhapatnam,"₹50,000",Brain Surgery,Dr. Sneha Rao,4.6,Pediatric specialist
KIMS Hospitals,Guntur,"₹1,50,000",Ear Surgery,Dr. Manish Rao,3.6,Expert in cardiology
Aayush Hospitals,Vijayawada,"₹1,50,000",Knee Replacement,Dr. Ramesh Kumar,4.8,Oncology expert
KIMS Hospitals,Visakhapatnam,"₹3,00,000",Appendix Surgery,Dr. Ramesh Kumar,3.9,Experienced general surgeon
Manipal Hospitals,Kakinada,"₹50,000",Knee Replacement,Dr. Sandeep Varma,3.6,Expert in cardiology
Apollo Hospitals,Kakinada,"₹1,50,000",Appendix Surgery,Dr. Priya Menon,4.8,Pediatric specialist
Care Hospitals,Visakhapatnam,"₹2,00,000",Appendix Surgery,Dr. Sandeep Varma,4.9,Best neurologist
KIMS Hospitals,Kakinada,"₹80,000",Knee Replacement,Dr. Neha Sharma,4.4,Expert in cardiology
Omni Hospitals,Kakinada,"₹80,000",Ear Surgery,Dr. Anand Sharma,3.6,Top gynecologist
Kamineni Hospitals,Tirupati,"₹1,00,000",Angioplasty,Dr. Arjun Dev,5,Experienced general surgeon
Care Hospitals,Rajahmundry,"₹2,00,000",Child Vaccination,Dr. Meera Joshi,4.3,Best orthopedic surgeon
Care Hospitals,Hyderabad,"₹80,000",Chemotherapy,Dr. Priya Menon,3.8,Best orthopedic surgeon
Aayush Hospitals,Rajahmundry,"₹1,00,000",Brain Surgery,Dr. Meera Joshi,3.5,Expert in cardiology
Care Hospitals,Nellore,"₹80,000",Brain Surgery,Dr. Manish Rao,3.5,Best orthopedic surgeon
Care Hospitals,Vijayawada,"₹80,000",C-Section Delivery,Dr. Ramesh Kumar,4.3,Oncology expert
Kamineni Hospitals,Visakhapatnam,"₹50,000",Brain Surgery,Dr. Sandeep Varma,4.3,Top gynecologist
Manipal Hospitals,Visakhapatnam,"₹5,00,000",Chemotherapy,Dr. Sandeep Varma,4.2,Oncology expert
Aayush Hospitals,Rajahmundry,"₹80,000",Appendix Surgery,Dr. Neha Sharma,4.2,Experienced general surgeon
Care Hospitals,Kakinada,"₹2,00,000",Appendix Surgery,Dr. Sandeep Varma,4,Renowned dermatologist
Care Hospitals,Vijayawada,"₹1,50,000",Knee Replacement,Dr. Manish Rao,3.5,Top gynecologist
Omni Hospitals,Tirupati,"₹2,00,000",Chemotherapy,Dr. Sneha Rao,4.9,Oncology expert
Andhra Hospitals,Vijayawada,"₹5,00,000",Heart Bypass Surgery,Dr. Ramesh Kumar,4,Cardiac specialist
Andhra Hospitals,Vijayawada,"₹80,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.4,Renowned dermatologist
Sunshine Hospitals,Rajahmundry,"₹3,00,000",Brain Surgery,Dr. Neha Sharma,4.8,Cardiac specialist
Apollo Hospitals,Nellore,"₹1,00,000",Heart Bypass Surgery,Dr. Anand Sharma,4.1,Top gynecologist
Kamineni Hospitals,Visakhapatnam,"₹1,00,000",Skin Treatment,Dr. Meera Joshi,3.5,Renowned dermatologist
Rainbow Hospitals,Guntur,"₹1,50,000",Heart Bypass Surgery,Dr. Manish Rao,4.3,Best neurologist
Apollo Hospitals,Vijayawada,"₹5,00,000",Child Vaccination,Dr. Neha Sharma,4.9,Oncology expert
Care Hospitals,Nellore,"₹1,00,000",Angioplasty,Dr. Arjun Dev,4.8,Experienced general surgeon
Sunshine Hospitals,Hyderabad,"₹1,00,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.4,Top gynecologist
Rainbow Hospitals,Hyderabad,"₹5,00,000",Heart Bypass Surgery,Dr. Ramesh Kumar,4.3,Pediatric specialist
Andhra Hospitals,Guntur,"₹2,00,000",Brain Surgery,Dr. Manish Rao,4.4,Renowned dermatologist
Rainbow Hospitals,Rajahmundry,"₹1,50,000",Chemotherapy,Dr. Neha Sharma,4.6,Best orthopedic surgeon
Care Hospitals,Rajahmundry,"₹5,00,000",Knee Replacement,Dr. Sandeep Varma,4.6,ENT Specialist
Kamineni Hospitals,Nellore,"₹3,00,000",Appendix Surgery,Dr. Sneha Rao,5,Renowned dermatologist
Apollo Hospitals,Tirupati,"₹5,00,000",Child Vaccination,Dr. Priya Menon,4.1,Experienced general surgeon
Andhra Hospitals,Tirupati,"₹80,000",Child Vaccination,Dr. Meera Joshi,4.1,Cardiac specialist
Andhra Hospitals,Nellore,"₹1,00,000",Appendix Surgery,Dr. Manish Rao,4.2,ENT Specialist
Rainbow Hospitals,Kakinada,"₹3,00,000",Chemotherapy,Dr. Sandeep Varma,4.4,Pediatric specialist
Care Hospitals,Guntur,"₹50,000",Angioplasty,Dr. Neha Sharma,4.1,Renowned dermatologist
Aayush Hospitals,Visakhapatnam,"₹5,00,000",C-Section Delivery,Dr. Sneha Rao,3.6,Best neurologist
KIMS Hospitals,Kakinada,"₹3,00,000",Skin Treatment,Dr. Neha Sharma,4.3,Cardiac specialist
Manipal Hospitals,Kakinada,"₹50,000",Ear Surgery,Dr. Anand Sharma,4.5,Top gynecologist
Aayush Hospitals,Nellore,"₹5,00,000",Angioplasty,Dr. Kavitha Reddy,3.6,Expert in cardiology
Sunshine Hospitals,Visakhapatnam,"₹50,000",Ear Surgery,Dr. Sneha Rao,4.2,ENT Specialist
Care Hospitals,Nellore,"₹80,000",Appendix Surgery,Dr. Arjun Dev,4.2,Best neurologist
Sunshine Hospitals,Kakinada,"₹2,00,000",Appendix Surgery,Dr. Manish Rao,4.8,Best orthopedic surgeon
Kamineni Hospitals,Guntur,"₹3,00,000",Angioplasty,Dr. Kavitha Reddy,4.4,Cardiac specialist
Manipal Hospitals,Tirupati,"₹3,00,000",Heart Bypass Surgery,Dr. Meera Joshi,4.6,Cardiac specialist
Sunshine Hospitals,Tirupati,"₹5,00,000",Heart Bypass Surgery,Dr. Manish Rao,3.7,Experienced general surgeon
Manipal Hospitals,Tirupati,"₹1,50,000",Angioplasty,Dr. Manish Rao,4.4,Pediatric specialist
Andhra Hospitals,Nellore,"₹1,50,000",Heart Bypass Surgery,Dr. Sneha Rao,5,Pediatric specialist
KIMS Hospitals,Tirupati,"₹50,000",Appendix Surgery,Dr. Manish Rao,4.7,Best neurologist
Sunshine Hospitals,Tirupati,"₹2,00,000",Angioplasty,Dr. Manish Rao,3.8,Expert in cardiology
Rainbow Hospitals,Nellore,"₹80,000",Appendix Surgery,Dr. Anand Sharma,4.7,Top gynecologist
Aayush Hospitals,Rajahmundry,"₹1,00,000",Ear Surgery,Dr. Priya Menon,5,ENT Specialist
Kamineni Hospitals,Vijayawada,"₹80,000",C-Section Delivery,Dr. Meera Joshi,3.8,Best orthopedic surgeon
Aayush Hospitals,Hyderabad,"₹1,00,000",Heart Bypass Surgery,Dr. Arjun Dev,3.8,Pediatric specialist
Care Hospitals,Rajahmundry,"₹50,000",Chemotherapy,Dr. Anand Sharma,4.7,Renowned dermatologist
Aayush Hospitals,Kakinada,"₹1,50,000",Child Vaccination,Dr. Neha Sharma,4.4,Oncology expert
Manipal Hospitals,Vijayawada,"₹50,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.9,ENT Specialist
KIMS Hospitals,Hyderabad,"₹5,00,000",Appendix Surgery,Dr. Meera Joshi,4.8,Expert in cardiology
Manipal Hospitals,Kakinada,"₹2,00,000",Appendix Surgery,Dr. Kavitha Reddy,4.3,Renowned dermatologist
Andhra Hospitals,Tirupati,"₹50,000",Skin Treatment,Dr. Manish Rao,4.9,Pediatric specialist
Aayush Hospitals,Guntur,"₹1,00,000",Skin Treatment,Dr. Neha Sharma,4.2,Best neurologist
Sunshine Hospitals,Kakinada,"₹5,00,000",Angioplasty,Dr. Priya Menon,4.9,Renowned dermatologist
Manipal Hospitals,Visakhapatnam,"₹2,00,000",Knee Replacement,Dr. Ramesh Kumar,4.3,Pediatric specialist
Care Hospitals,Tirupati,"₹80,000",Angioplasty,Dr. Kavitha Reddy,3.6,Top gynecologist
Rainbow Hospitals,Visakhapatnam,"₹5,00,000",C-Section Delivery,Dr. Meera Joshi,4.7,Best neurologist
Manipal Hospitals,Vijayawada,"₹3,00,000",Child Vaccination,Dr. Arjun Dev,3.6,Oncology expert
Sunshine Hospitals,Tirupati,"₹1,00,000",Ear Surgery,Dr. Meera Joshi,4,Top gynecologist
Aayush Hospitals,Visakhapatnam,"₹2,00,000",Brain Surgery,Dr. Kavitha Reddy,4,Best orthopedic surgeon
Andhra Hospitals,Guntur,"₹80,000",Chemotherapy,Dr. Sandeep Varma,4.9,ENT Specialist
Aayush Hospitals,Visakhapatnam,"₹50,000",C-Section Delivery,Dr. Arjun Dev,4.5,Pediatric specialist
Kamineni Hospitals,Hyderabad,"₹1,50,000",Skin Treatment,Dr. Anand Sharma,3.7,Experienced general surgeon
Apollo Hospitals,Guntur,"₹1,00,000",Knee Replacement,Dr. Sandeep Varma,4.6,Cardiac specialist
Care Hospitals,Vijayawada,"₹1,50,000",Skin Treatment,Dr. Neha Sharma,3.8,Experienced general surgeon
Aayush Hospitals,Nellore,"₹2,00,000",C-Section Delivery,Dr. Arjun Dev,4.6,Best neurologist
Apollo Hospitals,Nellore,"₹3,00,000",Knee Replacement,Dr. Neha Sharma,4.4,Cardiac specialist
Andhra Hospitals,Nellore,"₹3,00,000",Heart Bypass Surgery,Dr. Arjun Dev,3.7,Top gynecologist
Care Hospitals,Kakinada,"₹1,00,000",Child Vaccination,Dr. Manish Rao,4.3,ENT Specialist
Manipal Hospitals,Rajahmundry,"₹1,50,000",Brain Surgery,Dr. Manish Rao,3.6,Best neurologist
KIMS Hospitals,Hyderabad,"₹3,00,000",Knee Replacement,Dr. Priya Menon,4.5,Renowned dermatologist
Apollo Hospitals,Vijayawada,"₹1,50,000",Angioplasty,Dr. Ramesh Kumar,4.1,Experienced general surgeon
Care Hospitals,Kakinada,"₹2,00,000",Angioplasty,Dr. Neha Sharma,3.5,Expert in cardiology
Sunshine Hospitals,Guntur,"₹80,000",Appendix Surgery,Dr. Manish Rao,4,Renowned dermatologist
Andhra Hospitals,Rajahmundry,"₹1,00,000",Heart Bypass Surgery,Dr. Kavitha Reddy,4.6,Expert in cardiology
Rainbow Hospitals,Kakinada,"₹50,000",Child Vaccination,Dr. Priya Menon,3.9,Best orthopedic surgeon
KIMS Hospitals,Kakinada,"₹1,50,000",Skin Treatment,Dr. Sandeep Varma,3.6,Oncology expert
Omni Hospitals,Nellore,"₹3,00,000",Skin Treatment,Dr. Anand Sharma,4.5,Expert in cardiology
Sunshine Hospitals,Guntur,"₹80,000",Ear Surgery,Dr. Sneha Rao,4.4,Expert in cardiology
Sunshine Hospitals,Tirupati,"₹80,000",Brain Surgery,Dr. Meera Joshi,4.4,Top gynecologist
Omni Hospitals,Nellore,"₹50,000",Chemotherapy,Dr. Meera Joshi,4,Expert in cardiology
Aayush Hospitals,Tirupati,"₹80,000",Appendix Surgery,Dr. Kavitha Reddy,4.8,Best orthopedic surgeon
Manipal Hospitals,Guntur,"₹80,000",Skin Treatment,Dr. Neha Sharma,4.7,Cardiac specialist
Kamineni Hospitals,Hyderabad,"₹1,50,000",Heart Bypass Surgery,Dr. Kavitha Reddy,3.5,ENT Specialist
Kamineni Hospitals,Kakinada,"₹5,00,000",Ear Surgery,Dr. Meera Joshi,4,Experienced general surgeon
Sunshine Hospitals,Guntur,"₹3,00,000",Skin Treatment,Dr. Priya Menon,4.6,Experienced general surgeon
Apollo Hospitals,Guntur,"₹2,00,000",Child Vaccination,Dr. Meera Joshi,4.7,Best orthopedic surgeon
Andhra Hospitals,Hyderabad,"₹80,000",Chemotherapy,Dr. Manish Rao,4,Best orthopedic surgeon
Apollo Hospitals,Tirupati,"₹1,50,000",Appendix Surgery,Dr. Kavitha Reddy,3.6,Best orthopedic surgeon
KIMS Hospitals,Hyderabad,"₹50,000",Heart Bypass Surgery,Dr. Manish Rao,4.1,Renowned dermatologist
Andhra Hospitals,Guntur,"₹3,00,000",Knee Replacement,Dr. Anand Sharma,4.5,Experienced general surgeon
Omni Hospitals,Nellore,"₹5,00,000",Chemotherapy,Dr. Arjun Dev,4.2,Oncology expert
